2017-11-21 14:15:48 INFO  DataStoreRepository:74 - Property file is loaded successfully: TestData/loginTestData.properties
2017-11-21 14:15:48 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-21 14:15:48 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-21 14:15:53 INFO  Browser:21 - Implicit wait applied on the driver for 60 seconds
2017-11-21 14:15:54 INFO  Browser:23 - Maximixe the window
2017-11-21 14:15:54 INFO  Browser:24 - Web application launched: https://devconnect.lrsus.com/
2017-11-21 14:16:53 INFO  DataStoreRepository:74 - Property file is loaded successfully: PageObjects/loginPage.properties
2017-11-21 14:16:53 INFO  DataStoreRepository:74 - Property file is loaded successfully: TestData/loginTestData.properties
2017-11-21 14:16:53 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-21 14:16:53 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-21 14:16:58 INFO  Browser:21 - Implicit wait applied on the driver for 60 seconds
2017-11-21 14:16:59 INFO  Browser:23 - Maximixe the window
2017-11-21 14:16:59 INFO  Browser:24 - Web application launched: https://devconnect.lrsus.com/
2017-11-21 14:22:36 INFO  DataStoreRepository:74 - Property file is loaded successfully: PageObjects/loginPage.properties
2017-11-21 14:22:36 INFO  DataStoreRepository:74 - Property file is loaded successfully: TestData/loginTestData.properties
2017-11-21 14:22:36 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-21 14:22:36 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-21 14:22:42 INFO  Browser:21 - Implicit wait applied on the driver for 60 seconds
2017-11-21 14:22:43 INFO  Browser:23 - Maximixe the window
2017-11-21 14:22:43 INFO  Browser:24 - Web application launched: https://devconnect.lrsus.com/
2017-11-21 14:22:43 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-21 14:22:43 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-21 14:22:48 INFO  Browser:21 - Implicit wait applied on the driver for 60 seconds
2017-11-21 14:22:49 INFO  Browser:23 - Maximixe the window
2017-11-21 14:22:49 INFO  Browser:24 - Web application launched: https://devconnect.lrsus.com/
2017-11-21 14:23:20 INFO  DataStoreRepository:74 - Property file is loaded successfully: PageObjects/loginPage.properties
2017-11-21 14:23:20 INFO  DataStoreRepository:74 - Property file is loaded successfully: TestData/loginTestData.properties
2017-11-21 14:23:20 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-21 14:23:20 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
